ZIP code,State,City,Average annual cost,Percent difference from national average
01118,Massachusetts,Springfield,1357,-29
01119,Massachusetts,Springfield,1357,-29
01128,Massachusetts,Springfield,1377,-27
01129,Massachusetts,Springfield,1428,-25
01144,Massachusetts,Springfield,1321,-30
01151,Massachusetts,Indian Orchard,1263,-33
01152,Massachusetts,Springfield,1319,-31
01201,Massachusetts,Pittsfield,952,-50
01220,Massachusetts,Adams,949,-50
01222,Massachusetts,Ashley Falls,986,-48
01223,Massachusetts,Becket,1029,-46
01224,Massachusetts,Berkshire,965,-49
01225,Massachusetts,Cheshire,975,-49
01226,Massachusetts,Dalton,962,-49
01229,Massachusetts,Glendale,949,-50
01230,Massachusetts,Great Barrington,951,-50
01235,Massachusetts,Hinsdale,976,-49
01236,Massachusetts,Housatonic,952,-50
01237,Massachusetts,Lanesboro,945,-50
01238,Massachusetts,Lee,974,-49
01240,Massachusetts,Lenox,953,-50
01242,Massachusetts,Lenox Dale,953,-50
01243,Massachusetts,Middlefield,984,-48
01244,Massachusetts,Mill River,999,-47
01245,Massachusetts,Monterey,1016,-46
01247,Massachusetts,North Adams,965,-49
01252,Massachusetts,North Egremont,983,-48
01253,Massachusetts,Otis,1017,-46
01254,Massachusetts,Richmond,958,-50
01255,Massachusetts,Sandisfield,1041,-45
01256,Massachusetts,Savoy,982,-48
01257,Massachusetts,Sheffield,974,-49
01258,Massachusetts,South Egremont,975,-49
01259,Massachusetts,Southfield,1016,-46
01260,Massachusetts,South Lee,994,-48
01262,Massachusetts,Stockbridge,958,-50
01266,Massachusetts,West Stockbridge,975,-49
01267,Massachusetts,Williamstown,940,-51
01270,Massachusetts,Windsor,1003,-47
01301,Massachusetts,Greenfield Town,961,-49
01330,Massachusetts,Ashfield,970,-49
01331,Massachusetts,Athol,1116,-41
01337,Massachusetts,Bernardston,960,-49
01338,Massachusetts,Buckland,992,-48
01339,Massachusetts,Charlemont,998,-47
01340,Massachusetts,Colrain,986,-48
01341,Massachusetts,Conway,992,-48
01342,Massachusetts,Deerfield,954,-50
01343,Massachusetts,Drury,955,-50
01344,Massachusetts,Erving,964,-49
01346,Massachusetts,Heath,1015,-47
01347,Massachusetts,Lake Pleasant,957,-50
01349,Massachusetts,Millers Falls,960,-49
01350,Massachusetts,Monroe Bridge,979,-48
01351,Massachusetts,Montague,964,-49
01354,Massachusetts,Gill,965,-49
01355,Massachusetts,New Salem,1026,-46
01360,Massachusetts,Northfield,985,-48
01364,Massachusetts,Orange,988,-48
01366,Massachusetts,Petersham,1152,-39
01367,Massachusetts,Rowe,982,-48
01368,Massachusetts,Royalston,1142,-40
01370,Massachusetts,Shelburne Falls,983,-48
01373,Massachusetts,South Deerfield,972,-49
01375,Massachusetts,Sunderland,978,-48
01376,Massachusetts,Turners Falls,959,-49
01378,Massachusetts,Warwick,1000,-47
01379,Massachusetts,Wendell,997,-47
01380,Massachusetts,Wendell Depot,1003,-47
01420,Massachusetts,Fitchburg,1090,-43
01430,Massachusetts,Ashburnham,1138,-40
01431,Massachusetts,Ashby,1140,-40
01432,Massachusetts,Ayer,1112,-41
01434,Massachusetts,Devens,1092,-42
01436,Massachusetts,Baldwinville,1115,-41
01438,Massachusetts,East Templeton,1104,-42
01440,Massachusetts,Gardner,1125,-41
01450,Massachusetts,Groton,1115,-41
01451,Massachusetts,Harvard,1122,-41
01452,Massachusetts,Hubbardston,1135,-40
01453,Massachusetts,Leominster,1119,-41
01460,Massachusetts,Littleton Common,1117,-41
01462,Massachusetts,Lunenburg,1119,-41
01463,Massachusetts,Pepperell,1121,-41
01464,Massachusetts,Shirley,1130,-40
01467,Massachusetts,Still River,1113,-41
01468,Massachusetts,Templeton,1118,-41
01469,Massachusetts,Townsend,1105,-42
01472,Massachusetts,West Groton,1109,-42
01473,Massachusetts,Westminster,1106,-42
01474,Massachusetts,West Townsend,1107,-42
01475,Massachusetts,Winchendon,1106,-42
01477,Massachusetts,Winchendon Springs,1093,-42
01501,Massachusetts,Auburn,1174,-38
01503,Massachusetts,Berlin,1137,-40
01504,Massachusetts,Blackstone,1213,-36
01505,Massachusetts,Boylston,1134,-40
01506,Massachusetts,Brookfield,1166,-39
01507,Massachusetts,Charlton,1195,-37
01508,Massachusetts,Charlton City,1166,-39
01509,Massachusetts,Charlton Depot,1159,-39
01510,Massachusetts,Clinton,1129,-41
01515,Massachusetts,East Brookfield,1169,-38
01516,Massachusetts,Douglas,1180,-38
01517,Massachusetts,East Princeton,1121,-41
01518,Massachusetts,Fiskdale,1190,-37
01519,Massachusetts,Grafton,1170,-38
01520,Massachusetts,Holden,1156,-39
01521,Massachusetts,Holland,1078,-43
01522,Massachusetts,Jefferson,1119,-41
01523,Massachusetts,Lancaster,1133,-40
01524,Massachusetts,Leicester,1168,-38
01525,Massachusetts,Linwood,1135,-40
01526,Massachusetts,Manchaug,1131,-40
01527,Massachusetts,Millbury,1177,-38
01529,Massachusetts,Millville,1193,-37
01531,Massachusetts,New Braintree,1138,-40
01532,Massachusetts,Northborough,1156,-39
01534,Massachusetts,Northbridge,1166,-39
01535,Massachusetts,North Brookfield,1152,-39
01536,Massachusetts,North Grafton,1163,-39
01537,Massachusetts,North Oxford,1161,-39
01538,Massachusetts,North Uxbridge,1141,-40
01540,Massachusetts,Oxford,1205,-37
01541,Massachusetts,Princeton,1126,-41
01542,Massachusetts,Rochdale,1159,-39
01543,Massachusetts,Rutland,1151,-39
01545,Massachusetts,Shrewsbury,1156,-39
01550,Massachusetts,Southbridge Town,1159,-39
01560,Massachusetts,South Grafton,1158,-39
01562,Massachusetts,Spencer,1151,-39
01564,Massachusetts,Sterling,1125,-41
01566,Massachusetts,Sturbridge,1181,-38
01568,Massachusetts,Upton,1159,-39
01569,Massachusetts,Uxbridge,1169,-38
01570,Massachusetts,Webster,1196,-37
01571,Massachusetts,Dudley,1193,-37
01581,Massachusetts,Westborough,1169,-38
01583,Massachusetts,West Boylston,1144,-40
01585,Massachusetts,West Brookfield,1156,-39
01586,Massachusetts,West Millbury,1155,-39
01588,Massachusetts,Whitinsville,1168,-38
01590,Massachusetts,Sutton,1170,-38
01602,Massachusetts,Worcester,1302,-31
01603,Massachusetts,Worcester,1304,-31
01604,Massachusetts,Worcester,1303,-31
01605,Massachusetts,Worcester,1312,-31
01606,Massachusetts,Worcester,1304,-31
01607,Massachusetts,Worcester,1305,-31
01608,Massachusetts,Worcester,1282,-32
01609,Massachusetts,Worcester,1314,-31
01610,Massachusetts,Worcester,1292,-32
01611,Massachusetts,Cherry Valley,1179,-38
01612,Massachusetts,Paxton,1172,-38
01655,Massachusetts,Worcester,1274,-33
01701,Massachusetts,Framingham,1169,-38
01702,Massachusetts,Framingham,1183,-38
01718,Massachusetts,Acton,1110,-42
01719,Massachusetts,Boxborough,1130,-40
01720,Massachusetts,Acton,1134,-40
01721,Massachusetts,Ashland,1169,-38
01730,Massachusetts,Bedford,1121,-41
01731,Massachusetts,Hanscom AFB,1123,-41
01740,Massachusetts,Bolton,1146,-40
01741,Massachusetts,Carlisle,1134,-40
01742,Massachusetts,Concord,1132,-40
01745,Massachusetts,Fayville,1133,-40
01746,Massachusetts,Holliston,1167,-39
01747,Massachusetts,Hopedale,1162,-39
01748,Massachusetts,Hopkinton,1180,-38
01749,Massachusetts,Hudson,1144,-40
01752,Massachusetts,Marlborough,1155,-39
01754,Massachusetts,Maynard,1131,-40
01756,Massachusetts,Mendon,1178,-38
01757,Massachusetts,Milford,1158,-39
01760,Massachusetts,Natick,1175,-38
01770,Massachusetts,Sherborn,1173,-38
01772,Massachusetts,Southborough,1145,-40
01773,Massachusetts,Lincoln,1140,-40
01775,Massachusetts,Stow,1128,-41
01776,Massachusetts,Sudbury,1156,-39
01778,Massachusetts,Cochituate,1162,-39
01784,Massachusetts,Woodville,1155,-39
01801,Massachusetts,Woburn,1131,-40
01803,Massachusetts,Burlington,1126,-41
01810,Massachusetts,Andover,1209,-36
01821,Massachusetts,Billerica,1136,-40
01824,Massachusetts,Chelmsford,1112,-41
01826,Massachusetts,Dracut,1122,-41
01827,Massachusetts,Dunstable,1112,-41
01830,Massachusetts,Haverhill,1213,-36
01832,Massachusetts,Haverhill,1196,-37
01833,Massachusetts,Georgetown,1219,-36
01834,Massachusetts,Groveland,1202,-37
01835,Massachusetts,Haverhill,1207,-36
01840,Massachusetts,Lawrence,1358,-28
01841,Massachusetts,Lawrence,1421,-25
01843,Massachusetts,Lawrence,1416,-25
01844,Massachusetts,Methuen Town,1205,-37
01845,Massachusetts,North Andover,1206,-36
01850,Massachusetts,Lowell,1201,-37
01851,Massachusetts,Lowell,1212,-36
01852,Massachusetts,Lowell,1214,-36
01854,Massachusetts,Lowell,1209,-36
01860,Massachusetts,Merrimac,1200,-37
01862,Massachusetts,North Billerica,1128,-41
01863,Massachusetts,North Chelmsford,1119,-41
01864,Massachusetts,North Reading,1124,-41
01865,Massachusetts,Nutting Lake,1137,-40
01867,Massachusetts,Reading,1121,-41
01876,Massachusetts,Tewksbury,1142,-40
01879,Massachusetts,Tyngsboro,1127,-41
01880,Massachusetts,Wakefield,1131,-40
01885,Massachusetts,West Boxford,1285,-32
01886,Massachusetts,Westford,1102,-42
01887,Massachusetts,Wilmington,1137,-40
01890,Massachusetts,Winchester,1127,-41
01901,Massachusetts,Lynn,1554,-18
01902,Massachusetts,Lynn,1580,-17
01904,Massachusetts,Lynn,1536,-19
01905,Massachusetts,Lynn,1541,-19
01906,Massachusetts,Saugus,1276,-33
01907,Massachusetts,Swampscott,1332,-30
01908,Massachusetts,Nahant,1479,-22
01913,Massachusetts,Amesbury Town,1200,-37
01915,Massachusetts,Beverly,1308,-31
01921,Massachusetts,Boxford,1216,-36
01922,Massachusetts,Byfield,1198,-37
01923,Massachusetts,Danvers,1228,-35
01929,Massachusetts,Essex,1330,-30
01930,Massachusetts,Gloucester,1409,-26
01937,Massachusetts,Hathorne,1281,-33
01938,Massachusetts,Ipswich,1301,-31
01940,Massachusetts,Lynnfield,1251,-34
01944,Massachusetts,Manchester By The Sea,1326,-30
01945,Massachusetts,Marblehead,1379,-27
01949,Massachusetts,Middleton,1239,-35
01950,Massachusetts,Newburyport,1265,-33
01951,Massachusetts,Newbury,1297,-32
01952,Massachusetts,Salisbury,1305,-31
01960,Massachusetts,Peabody,1224,-36
01965,Massachusetts,Prides Crossing,1261,-34
01966,Massachusetts,Rockport,1367,-28
01969,Massachusetts,Rowley,1253,-34
01970,Massachusetts,Salem,1310,-31
01982,Massachusetts,South Hamilton,1240,-35
01983,Massachusetts,Topsfield,1222,-36
01984,Massachusetts,Wenham,1221,-36
01985,Massachusetts,West Newbury,1234,-35
02018,Massachusetts,Accord,1535,-19
02019,Massachusetts,Bellingham,1265,-33
02020,Massachusetts,Brant Rock,1569,-17
02021,Massachusetts,Canton,1265,-33
02025,Massachusetts,Cohasset,1557,-18
02026,Massachusetts,Dedham,1249,-34
02030,Massachusetts,Dover,1225,-35
02032,Massachusetts,East Walpole,1244,-34
02035,Massachusetts,Foxborough,1277,-33
02038,Massachusetts,Franklin Town,1260,-34
02040,Massachusetts,Greenbush,1554,-18
02041,Massachusetts,Green Harbor,1634,-14
02043,Massachusetts,Hingham,1523,-20
02045,Massachusetts,Hull,1652,-13
02047,Massachusetts,Humarock,1645,-13
02048,Massachusetts,Mansfield,1331,-30
02050,Massachusetts,Marshfield,1707,-10
02052,Massachusetts,Medfield,1247,-34
02053,Massachusetts,Medway,1249,-34
02054,Massachusetts,Millis-Clicquot,1251,-34
02055,Massachusetts,Minot,1639,-14
02056,Massachusetts,Norfolk,1239,-35
02059,Massachusetts,North Marshfield,1688,-11
02061,Massachusetts,Norwell,1500,-21
02062,Massachusetts,Norwood,1260,-34
02065,Massachusetts,Ocean Bluff,1637,-14
02066,Massachusetts,Scituate,1733,-9
02067,Massachusetts,Sharon,1266,-33
02070,Massachusetts,Sheldonville,1260,-34
02071,Massachusetts,South Walpole,1253,-34
02072,Massachusetts,Stoughton,1281,-33
02081,Massachusetts,Walpole,1259,-34
02090,Massachusetts,Westwood,1237,-35
02093,Massachusetts,Wrentham,1273,-33
02108,Massachusetts,Boston,1501,-21
02109,Massachusetts,Boston,1504,-21
02110,Massachusetts,Boston,1518,-20
02111,Massachusetts,Boston,1589,-16
02113,Massachusetts,Boston,1537,-19
02114,Massachusetts,Boston,1487,-22
02115,Massachusetts,Boston,1542,-19
02116,Massachusetts,Boston,1596,-16
02118,Massachusetts,Boston,1711,-10
02119,Massachusetts,Roxbury,1650,-13
02120,Massachusetts,Roxbury Crossing,1624,-14
02121,Massachusetts,Dorchester,1659,-13
02122,Massachusetts,Dorchester,1762,-7
02124,Massachusetts,Dorchester Center,1638,-14
02125,Massachusetts,Dorchester,1672,-12
02126,Massachusetts,Mattapan,1662,-12
02127,Massachusetts,Boston,1783,-6
02128,Massachusetts,Boston,1550,-18
02129,Massachusetts,Charlestown,1648,-13
02130,Massachusetts,Jamaica Plain,1617,-15
02131,Massachusetts,Roslindale,1599,-16
02132,Massachusetts,West Roxbury,1579,-17
02133,Massachusetts,Boston,1453,-23
02134,Massachusetts,Allston,1630,-14
02135,Massachusetts,Brighton,1616,-15
02136,Massachusetts,Hyde Park,1597,-16
02137,Massachusetts,Readville,1642,-14
02138,Massachusetts,Cambridge,1177,-38
02139,Massachusetts,Cambridge,1205,-37
02140,Massachusetts,Cambridge,1174,-38
02141,Massachusetts,Cambridge,1211,-36
02142,Massachusetts,Cambridge,1217,-36
02143,Massachusetts,Somerville,1183,-38
02144,Massachusetts,Somerville,1183,-38
02145,Massachusetts,Somerville,1199,-37
02148,Massachusetts,Malden,1146,-40
02149,Massachusetts,Everett,1179,-38
02150,Massachusetts,Chelsea,1750,-8
02151,Massachusetts,Revere,1790,-6
02152,Massachusetts,Winthrop Town,1833,-3
02155,Massachusetts,Medford,1135,-40
02156,Massachusetts,West Medford,1129,-41
02163,Massachusetts,Boston,1452,-24
02169,Massachusetts,Quincy,1342,-29
02170,Massachusetts,Quincy,1329,-30
02171,Massachusetts,Quincy,1357,-29
02176,Massachusetts,Melrose,1132,-40
02180,Massachusetts,Stoneham,1129,-41
02184,Massachusetts,Braintree Town,1224,-36
02186,Massachusetts,Milton,1215,-36
02187,Massachusetts,Milton Village,1220,-36
02188,Massachusetts,Weymouth,1278,-33
02189,Massachusetts,East Weymouth,1258,-34
02190,Massachusetts,South Weymouth,1247,-34
02191,Massachusetts,North Weymouth,1299,-32
02199,Massachusetts,Boston,1478,-22
02203,Massachusetts,Boston,1591,-16
02210,Massachusetts,Boston,1784,-6
02215,Massachusetts,Boston,1466,-23
02222,Massachusetts,Boston,1566,-18
02301,Massachusetts,Brockton,1674,-12
02302,Massachusetts,Brockton,1666,-12
02322,Massachusetts,Avon,1298,-32
02324,Massachusetts,Bridgewater,1451,-24
02325,Massachusetts,Bridgewater,1453,-23
02327,Massachusetts,Bryantville,1487,-22
02330,Massachusetts,Carver,1596,-16
02332,Massachusetts,Duxbury,1686,-11
02333,Massachusetts,East Bridgewater,1451,-24
02337,Massachusetts,Elmwood,1518,-20
02338,Massachusetts,Halifax,1514,-20
02339,Massachusetts,Hanover,1475,-22
02341,Massachusetts,Hanson,1454,-23
02343,Massachusetts,Holbrook,1274,-33
02345,Massachusetts,Manomet,1582,-17
02346,Massachusetts,Middleboro,1508,-21
02347,Massachusetts,Lakeville,1544,-19
02350,Massachusetts,Monponsett,1512,-20
02351,Massachusetts,Abington,1439,-24
02355,Massachusetts,North Carver,1460,-23
02356,Massachusetts,North Easton,1345,-29
02357,Massachusetts,North Easton,1401,-26
02359,Massachusetts,Pembroke,1480,-22
02360,Massachusetts,Plymouth,1661,-13
02364,Massachusetts,Kingston,1638,-14
02366,Massachusetts,South Carver,1594,-16
02367,Massachusetts,Plympton,1562,-18
02368,Massachusetts,Randolph,1284,-32
02370,Massachusetts,Rockland,1447,-24
02375,Massachusetts,South Easton,1349,-29
02379,Massachusetts,West Bridgewater,1428,-25
02381,Massachusetts,White Horse Beach,1559,-18
02382,Massachusetts,Whitman,1426,-25
02420,Massachusetts,Lexington,1119,-41
02421,Massachusetts,Lexington,1123,-41
02445,Massachusetts,Brookline,1453,-23
02446,Massachusetts,Brookline,1440,-24
02447,Massachusetts,Brookline Village,1399,-26
02451,Massachusetts,Waltham,1158,-39
02452,Massachusetts,Waltham,1141,-40
02453,Massachusetts,Waltham,1157,-39
02455,Massachusetts,North Waltham,1141,-40
02456,Massachusetts,New Town,1126,-41
02457,Massachusetts,Babson Park,1265,-33
02458,Massachusetts,Newton,1153,-39
02459,Massachusetts,Newton Center,1162,-39
02460,Massachusetts,Newtonville,1145,-40
02461,Massachusetts,Newton Highlands,1152,-39
02462,Massachusetts,Newton Lower Falls,1146,-40
02464,Massachusetts,Newton Upper Falls,1143,-40
02465,Massachusetts,West Newton,1147,-40
02466,Massachusetts,Auburndale,1151,-39
02467,Massachusetts,Chestnut Hill,1332,-30
02468,Massachusetts,Waban,1157,-39
02472,Massachusetts,Watertown Town,1144,-40
02474,Massachusetts,Arlington,1122,-41
02475,Massachusetts,Arlington Heights,1122,-41
02476,Massachusetts,Arlington,1126,-41
02478,Massachusetts,Belmont,1149,-39
02479,Massachusetts,Waverley,1154,-39
02481,Massachusetts,Wellesley Hills,1221,-36
02482,Massachusetts,Wellesley,1212,-36
02492,Massachusetts,Needham,1227,-35
02493,Massachusetts,Weston,1167,-39
02494,Massachusetts,Needham Heights,1221,-36
02495,Massachusetts,Nonantum,1189,-37
02532,Massachusetts,Buzzards Bay,2150,13
02534,Massachusetts,Cataumet,2689,42
02535,Massachusetts,Chilmark,3184,68
02536,Massachusetts,East Falmouth,2405,27
02537,Massachusetts,East Sandwich,2325,22
02538,Massachusetts,White Island Shores,1819,-4
02539,Massachusetts,Edgartown,2853,50
02540,Massachusetts,Falmouth,2666,40
02542,Massachusetts,Buzzards Bay,2155,13
02543,Massachusetts,Woods Hole,2615,38
02552,Massachusetts,Menemsha,2914,53
02554,Massachusetts,Nantucket,3035,60
02556,Massachusetts,North Falmouth,2430,28
02557,Massachusetts,Oak Bluffs,2830,49
02558,Massachusetts,Onset,1883,-1
02559,Massachusetts,Pocasset,2296,21
02561,Massachusetts,Sagamore,2171,14
02562,Massachusetts,Sagamore Beach,2336,23
02563,Massachusetts,Sandwich,2340,23
02564,Massachusetts,Siasconset,3040,60
02565,Massachusetts,Silver Beach,2244,18
02568,Massachusetts,Vineyard Haven,2799,47
02571,Massachusetts,Wareham,1848,-3
02573,Massachusetts,West Chop,2912,53
02575,Massachusetts,West Tisbury,2844,50
02576,Massachusetts,West Wareham,1786,-6
02601,Massachusetts,Hyannis,2459,29
02630,Massachusetts,Barnstable,2353,24
02631,Massachusetts,Brewster,2296,21
02632,Massachusetts,Centerville,2380,25
02633,Massachusetts,Chatham,2726,44
02635,Massachusetts,Cotuit,2512,32
02637,Massachusetts,Cummaquid,2634,39
02638,Massachusetts,Dennis,2243,18
02639,Massachusetts,Dennis Port,2479,31
02641,Massachusetts,East Dennis,2298,21
02642,Massachusetts,Eastham,2422,28
02643,Massachusetts,East Orleans,2394,26
02644,Massachusetts,Forestdale,2325,22
02645,Massachusetts,East Harwich,2415,27
02646,Massachusetts,Harwich Center,2657,40
02647,Massachusetts,Hyannis Port,2492,31
02648,Massachusetts,Marstons Mills,2494,31
02649,Massachusetts,Mashpee,2486,31
02650,Massachusetts,North Chatham,2688,42
02652,Massachusetts,North Truro,2456,29
02653,Massachusetts,Orleans,2357,24
02655,Massachusetts,Osterville,2305,21
02657,Massachusetts,Provincetown,2656,40
02659,Massachusetts,South Chatham,2679,41
02660,Massachusetts,South Dennis,2344,23
02661,Massachusetts,South Harwich,2451,29
02662,Massachusetts,South Orleans,2391,26
02663,Massachusetts,South Wellfleet,2479,31
02664,Massachusetts,South Yarmouth,2432,28
02666,Massachusetts,Truro,2586,36
02667,Massachusetts,Wellfleet,2551,34
02668,Massachusetts,West Barnstable,2356,24
02670,Massachusetts,West Dennis,2526,33
02671,Massachusetts,West Harwich,2674,41
02672,Massachusetts,West Hyannisport,2691,42
02673,Massachusetts,West Yarmouth,2460,30
02675,Massachusetts,Yarmouth Port,2279,20
02702,Massachusetts,Assonet,1615,-15
02703,Massachusetts,Attleboro,1384,-27
02712,Massachusetts,Chartley,1457,-23
02713,Massachusetts,Cuttyhunk,2984,57
02715,Massachusetts,Dighton,1426,-25
02717,Massachusetts,East Freetown,1585,-17
02718,Massachusetts,East Taunton,1441,-24
02719,Massachusetts,Fairhaven,1833,-3
02720,Massachusetts,Fall River,1627,-14
02721,Massachusetts,Fall River,1667,-12
02723,Massachusetts,Fall River,1655,-13
02724,Massachusetts,Fall River,1667,-12
02725,Massachusetts,Somerset,1686,-11
02726,Massachusetts,Somerset,1671,-12
02738,Massachusetts,Marion,1868,-2
02739,Massachusetts,Mattapoisett,1886,-1
02740,Massachusetts,New Bedford,1807,-5
02743,Massachusetts,Acushnet,1734,-9
02744,Massachusetts,New Bedford,1970,4
02745,Massachusetts,New Bedford,1721,-9
02746,Massachusetts,New Bedford,1769,-7
02747,Massachusetts,North Dartmouth,1733,-9
02748,Massachusetts,South Dartmouth,1914,1
02760,Massachusetts,North Attleboro,1343,-29
02762,Massachusetts,Plainville,1298,-32
02763,Massachusetts,Attleboro Falls,1352,-29
02764,Massachusetts,North Dighton,1418,-25
02766,Massachusetts,Norton,1344,-29
02767,Massachusetts,Raynham,1385,-27
02769,Massachusetts,Rehoboth,1433,-25
02770,Massachusetts,Rochester,1690,-11
02771,Massachusetts,Seekonk,1457,-23
02777,Massachusetts,Swansea,1655,-13
02779,Massachusetts,Berkley,1441,-24
02780,Massachusetts,Taunton,1391,-27
02790,Massachusetts,Westport,1783,-6
02791,Massachusetts,Westport Point,1846,-3
02801,Rhode Island,Adamsville,1791,-6
02802,Rhode Island,Albion,1429,-25
02804,Rhode Island,Ashaway,1337,-30
02806,Rhode Island,Barrington,1317,-31
02807,Rhode Island,Block Island,1964,3
02808,Rhode Island,Bradford,1402,-26
02809,Rhode Island,Bristol,1331,-30
02812,Rhode Island,Carolina,1334,-30
02813,Rhode Island,Charlestown,1562,-18
02814,Rhode Island,Chepachet,1430,-25
02815,Rhode Island,Clayville,1449,-24
02816,Rhode Island,Coventry,1439,-24
02817,Rhode Island,West Greenwich,1450,-24
02818,Rhode Island,East Greenwich,1414,-26
02822,Rhode Island,Exeter,1364,-28
02823,Rhode Island,Fiskeville,1476,-22
02824,Rhode Island,Forestdale,1403,-26
02825,Rhode Island,Foster,1455,-23
02826,Rhode Island,Glendale,1399,-26
02827,Rhode Island,Greene,1446,-24
02828,Rhode Island,Greenville,1459,-23
02829,Rhode Island,Harmony,1433,-25
02830,Rhode Island,Harrisville,1398,-26
02831,Rhode Island,Hope,1448,-24
02832,Rhode Island,Hope Valley,1345,-29
02833,Rhode Island,Hopkinton,1333,-30
02835,Rhode Island,Jamestown,1717,-10
02836,Rhode Island,Kenyon,1330,-30
02837,Rhode Island,Little Compton,1567,-17
02838,Rhode Island,Manville,1398,-26
02839,Rhode Island,Mapleville,1403,-26
02840,Rhode Island,Newport,1622,-15
02841,Rhode Island,Newport,1601,-16
02842,Rhode Island,Newport East,1604,-16
02852,Rhode Island,North Kingstown,1391,-27
02857,Rhode Island,North Scituate,1440,-24
02858,Rhode Island,Oakland,1393,-27
02859,Rhode Island,Pascoag,1411,-26
02860,Rhode Island,Pawtucket,1431,-25
02861,Rhode Island,Pawtucket,1436,-24
02863,Rhode Island,Central Falls,1465,-23
02864,Rhode Island,Cumberland,1380,-27
02865,Rhode Island,Lincoln,1451,-24
02871,Rhode Island,Portsmouth,1501,-21
02872,Rhode Island,Prudence Island,1495,-21
02873,Rhode Island,Rockville,1322,-30
02874,Rhode Island,Saunderstown,1476,-22
02875,Rhode Island,Shannock,1339,-29
02876,Rhode Island,Slatersville,1399,-26
02877,Rhode Island,Slocum,1350,-29
02878,Rhode Island,Tiverton,1483,-22
02879,Rhode Island,Wakefield,1403,-26
02881,Rhode Island,Kingston,1475,-22
02882,Rhode Island,Narragansett,1647,-13
02883,Rhode Island,Peace Dale,1502,-21
02885,Rhode Island,Warren,1354,-29
02886,Rhode Island,Warwick,1473,-22
02888,Rhode Island,Warwick,1520,-20
02889,Rhode Island,Warwick,1464,-23
02891,Rhode Island,Westerly,1524,-20
02892,Rhode Island,West Kingston,1368,-28
02893,Rhode Island,West Warwick,1480,-22
02894,Rhode Island,Wood River Junction,1340,-29
02895,Rhode Island,Woonsocket,1389,-27
02896,Rhode Island,North Smithfield,1410,-26
02898,Rhode Island,Wyoming,1335,-30
02903,Rhode Island,Providence,1594,-16
02904,Rhode Island,Providence,1575,-17
02905,Rhode Island,Providence,1603,-16
02906,Rhode Island,Providence,1596,-16
02907,Rhode Island,Providence,1621,-15
